num-candidat;code-epreuve;code-matiere;score
0116619255;204; ;0,353325245
0116619255;205; ;0,596225575
0116619255;206; ;0,976408122
0116619255;207;0002;0,807790969
0116619255;207;0001;0,574417536
0116619255;207;0007;0,71625121
0116619255;209; ;0,003428382
0116749860;204; ;0,15729078
0116749860;205; ;0,571422681
0116749860;206; ;0,350709718
0116749860;207;0002;0,760105227
0116749860;207;0001;0,412833254
0116749860;207;0007;0,484578885
0116749860;209; ;0,21875838
0116750263;204; ;0,374705365
0116750263;205; ;0,014216367
0116750263;206; ;0,690852543
0116750263;207;0002;0,826360804
0116750263;207;0001;0,111217294
0116750263;207;0007;0,490446908
0116750263;209; ;0,367759618
0116750739;204; ;0,332942903
0116750739;205; ;0,463257842
0116750739;206; ;0,09303728
0116750739;207;0002;0,988719329
0116750739;207;0001;0,762135161
0116750739;207;0007;0,316604302
0116750739;209; ;0,954465577
