#ANNEE SESSION;SPECIALITE;NUMERO CANDIDAT;CODE EPREUVE;CODE MATIERE
2012;ES;0116619255;204; 
2012;ES;0116619255;205; 
2012;ES;0116749860;204; 
2012;ES;0116749860;205; 
2012;ES;0116750263;204; 
2012;ES;0116750263;206; 
2012;ES;0116750739;204; 
2012;ES;0116750739;205; 
2012;ES;0116751118;204; 
2012;ES;0116751118;207;0002
2012;ES;0116752815;206; 
2012;ES;0116752815;209; 
2012;ES;0116897187;205; 
2012;ES;0116897187;206; 
2012;ES;0116897214;204; 
2012;ES;0116897214;206; 
2012;ES;0116897223;204; 
2012;ES;0116897223;205; 
2012;ES;0116897231;204; 
2012;ES;0116897231;209; 
2012;ES;0116897249;204; 
2012;ES;0116897249;206; 
2012;ES;0116897253;204; 
2012;ES;0116897253;206; 
2012;ES;0116897276;205; 
2012;ES;0116897276;207;0001
2012;ES;0116897278;204; 
2012;ES;0116897278;207;0002
2012;ES;0116897285;204; 
2012;ES;0116897285;206; 
2012;ES;0116897289;205; 
2012;ES;0116897289;209; 
2012;ES;0116897292;204; 
2012;ES;0116897292;205; 
2012;ES;0116897307;204; 
2012;ES;0116897307;207;0002
2012;ES;0116897308;204; 
2012;ES;0116897308;209; 
2012;ES;0116897309;204; 
2012;ES;0116897309;205; 
2012;ES;0116897312;205; 
2012;ES;0116897312;206; 
2012;ES;0116897320;204; 
2012;ES;0116897320;206; 
2012;ES;0116897327;204; 
2012;ES;0116897327;206; 
2012;ES;0116897369;204; 
2012;ES;0116897369;209; 
2012;ES;0116897374;204; 
2012;ES;0116897374;206; 
2012;ES;0116897376;205; 
2012;ES;0116897376;206; 
2012;ES;0116897390;204; 
2012;ES;0116897390;206; 
2012;ES;0116897396;205; 
2012;ES;0116897396;206; 
2012;ES;0116897402;205; 
2012;ES;0116897402;209; 
2012;ES;0116897406;204; 
2012;ES;0116897406;209; 
2012;ES;0116897409;204; 
2012;ES;0116897409;206; 
2012;ES;0116897414;206; 
2012;ES;0116897414;209; 
2012;ES;0116897416;206; 
2012;ES;0116897416;209; 
2012;ES;0116897425;204; 
2012;ES;0116897425;205; 
2012;ES;0116897429;204; 
2012;ES;0116897429;206; 
2012;ES;0116897441;206; 
2012;ES;0116897441;209; 
2012;ES;0116897451;204; 
2012;ES;0116897451;206; 
2012;ES;0116897486;204; 
2012;ES;0116897486;206; 
2012;ES;0116897492;204; 
2012;ES;0116897492;205; 
2012;ES;0116897495;206; 
2012;ES;0116897495;209; 
2012;ES;0116897508;204; 
2012;ES;0116897508;206; 
2012;ES;0116897534;206; 
2012;ES;0116897534;207;0002
2012;ES;0116897576;204; 
2012;ES;0116897576;206; 
2012;ES;0116897579;205; 
2012;ES;0116897579;206; 
2012;ES;0116897594;205; 
2012;ES;0116897594;206; 
2012;ES;0116897605;204; 
2012;ES;0116897605;206; 
2012;ES;0116897608;204; 
2012;ES;0116897608;207;0002
2012;ES;0116897609;204; 
2012;ES;0116897609;207;0002
2012;ES;0116897633;205; 
2012;ES;0116897633;206; 
2012;ES;0116897647;205; 
2012;ES;0116897647;206; 
