#SPECIALITE;CODE EPREUVE;LIBELLE EPREUVE;CODE MATIERE;LIBELLE MATIERE
L;204;MATHS-INFORM.; ;
L;205;LITTERATURE; ;
L;206;HIST.GEOG.; ;
L;207;L.V.E. 1;0002;ANGLAIS
L;207;L.V.E. 1;0008;ITALIEN
L;207;L.V.E. 1;0001;ALLEMAND
L;207;L.V.E. 1;0007;ESPAGNOL
L;208;PHILOSOPHIE; ;
L;209;LANGUE;0002;ANGLAIS
L;209;LANGUE;0001;ALLEMAND
L;209;LANGUE;0008;ITALIEN
L;209;LANGUE;0007;ESPAGNOL
L;211;ARTS;1346;HISTOIRE ARTS
L;211;ARTS;1091;ARTS PLASTIQ.
L;211;ARTS;0433;MUSIQUE
L;211;ARTS;1105;CINE-AUDIOVIS
L;211;LATIN; ;
