idCandidat;idEpreuve;Note
0316248699;005A;4,5
0316248699;008A;8,5
0316248699;008C;7
0316248699;006A-3;8,5
0316248699;002;15
0316248699;001;12
0316248699;009;6
0316248699;003;7
0316248699;004;5
0316521988;007C;4
0316521988;002;8
0316521988;007A;7
0316521988;001;10
0316521988;009;11
0316521988;003;11
0316521988;004;4
0316521988;005A;4
0316522148;015;13
0316522148;006A-3;10
0316522148;008A;8
0316522148;005A;7
0316522148;001;13
0316522148;008C;6
0316522148;007C;10
0316522148;003;14
0316522148;004;7
0316522148;002;10
0316522148;007A;13
0316522148;009;10
0316522255;002;14
0316522255;001;6
0316522255;005A;3,5
0316522255;015;14
0316522255;006A-3;8
0316522255;004;4
0316522255;003;7
0316522255;017;13
0316522255;009;11
0316523419;017;12
0316523419;015;12
0316523419;002;10
0316523419;006A-3;5,5
0316523419;001;12
0316523419;009;7
0316523419;003;12
0316523419;004;7
0316523419;005A;5
0316523419;005B;18
0316525012;003;12
0316525012;002;14
0316525012;015;13
0316525012;001;12
0316525012;009;12
0316525012;004;4
0316525012;005A;3
0316525362;006A-3;6
0316525362;008A;7,5
0316525362;001;8
0316525362;007BA;2
0316525362;007A;4,5
0316525362;009;7
0316525362;008BA;4
0316525362;008BB;9
0316525362;016;11
0316525362;004;9
0316525362;005A;4
0316525362;005B;10
0316525362;015;6
0316525362;007BB;8
0316525362;003;7
0316525362;002;11
0316525362;017;12
0316527748;001;12
0316527748;008C;AB
0316527748;009;13
0316527748;004;6
0316527748;005A;5,5
0316527748;003;11
0316527748;002;8
0316527748;010B;14,5
0316527748;010A;2
0316527748;006A-3;5
0316527748;008A;8,5
0316528024;009;4
0316528024;007A;9,5
0316528024;007C;8
0316528024;004;7
0316528024;003;10
0316528024;002;7
0316528024;017;9
0316528024;008A;7
0316528024;001;9
0316528024;008C;12
0316652979;007BA;10
0316652979;007A;7,5
0316652979;008BB;9
0316652979;003;5
0316652979;017;10
0316652979;002;9
0316652979;009;16
0316652979;008BA;14
0316652979;007BB;6
0316652979;005B;12
0316652979;005A;2,5
0316652979;004;4
0316652979;001;10
0316652979;008A;6
0316653043;004;9
0316653043;005A;9
0316653043;003;12
0316653043;002;4
0316653043;005B;12
0316653043;017;11
0316653043;001;8
0316653043;006A-3;6
0316653043;009;7
0316653046;007BA;2
0316653046;004;12
0316653046;008BA;8
0316653046;005A;6
0316653046;003;10
0316653046;002;7
0316653046;005B;15
0316653046;017;9
0316653046;001;7
0316653046;006A-3;8
0316653046;007BB;9
0316653046;008A;7,5
0316653046;009;5
0316653046;008BB;6
0316653046;007A;8,5
0316653062;007BB;5
0316653062;005A;10,5
0316653062;001;9
0316653062;008BA;14
0316653062;008BB;8
0316653062;008A;15
0316653062;003;5
0316653062;004;7
0316653062;005B;11
0316653062;002;9
0316653062;007BA;10
0316653062;007A;9,5
0316653062;017;13
0316653062;009;6
0316653062;006A-3;7
0316653065;015;13
0316653065;004;8
0316653065;008BA;4
0316653065;008BB;6
0316653065;005A;4,5
0316653065;003;11
0316653065;002;12
0316653065;005B;18
0316653065;017;12
0316653065;001;9
0316653065;006A-3;8
0316653065;008A;12,5
0316653065;009;6
0316653066;002;8
0316653066;009;6
0316653066;008C;5
0316653066;005A;4
0316653066;004;13
0316653066;008A;6,5
0316653066;001;10
0316653066;003;6
0316653074;005B;18
0316653074;007BA;16
0316653074;008A;5,5
0316653074;001;7
0316653074;008BA;8
0316653074;008BB;4
0316653074;005A;5,5
0316653074;007BB;10
0316653074;006A-3;8
0316653074;004;11
0316653074;003;5
0316653074;017;11
0316653074;009;9
0316653074;002;10
0316653074;007A;14,5
0316653097;007BB;7
0316653097;005A;3,5
0316653097;001;10
0316653097;008A;10
0316653097;003;6
0316653097;004;11
0316653097;008BB;14
0316653097;005B;14
0316653097;002;8
0316653097;007BA;6
0316653097;007A;10,5
0316653097;017;8
0316653097;009;7
0316653097;006A-3;4
0316653097;008BA;14
0316653112;001;12
0316653112;005A;7
0316653112;008BA;4
0316653112;008BB;6
0316653112;008A;11,5
0316653112;006A-3;5
0316653112;004;10
0316653112;003;4
0316653112;017;15
0316653112;009;6
0316653112;002;8
0316653112;005B;18
0316653119;005A;6
0316653119;007BA;16
0316653119;003;9
0316653119;002;9
0316653119;005B;11
0316653119;017;13
0316653119;001;8
0316653119;006A-3;7
0316653119;007BB;13
0316653119;009;7
0316653119;007A;13
0316653119;004;10
0316653129;008BA;8
0316653129;005A;8
0316653129;008BB;6
0316653129;003;7
0316653129;002;5
0316653129;005B;11
0316653129;017;12
0316653129;001;10
0316653129;006A-3;4
0316653129;009;11
0316653129;008A;10
0316653129;007BB;10
0316653129;007A;9,5
0316653129;004;12
0316653129;007BA;10
0316653131;015;15
0316653131;003;12
0316653131;002;4
0316653131;005B;13
0316653131;017;9
0316653131;001;4
0316653131;006A-3;10,5
0316653131;009;7
0316653131;007BB;10
0316653131;007A;9
0316653131;004;7
0316653131;007BA;6
0316653131;005A;7
0316653139;003;6
0316653139;002;13
0316653139;005B;16
0316653139;017;16
0316653139;001;8
0316653139;006A-3;7,5
0316653139;009;11
0316653139;007BB;11
0316653139;007A;12
0316653139;004;2
0316653139;007BA;10
0316653139;005A;4,5
0316653142;005B;17
0316653142;017;12
0316653142;015;11
0316653142;001;11
0316653142;006A-3;9
0316653142;009;8
0316653142;007BB;10
0316653142;008A;7,5
0316653142;007A;9
0316653142;004;6
0316653142;007BA;6
0316653142;005A;4
0316653142;008BA;14
0316653142;003;12
0316653142;008BB;15
0316653142;002;9
0316653148;006A-3;9
0316653148;004;6
0316653148;003;10
0316653148;008BB;12
0316653148;017;11
0316653148;009;7
0316653148;002;9
0316653148;008A;6
0316653148;008BA;8
0316653148;005B;16
0316653148;001;8
0316653148;005A;8
0316653162;001;6
0316653162;006A-3;9
0316653162;009;10
0316653162;007BB;12
0316653162;008A;10,5
0316653162;007A;9
0316653162;004;5
0316653162;007BA;16
0316653162;005A;11
0316653162;008BA;8
0316653162;003;9
0316653162;008BB;8
0316653162;002;6
0316653162;005B;18
0316653162;017;6
0316653167;008A;7,5
0316653167;007BB;15
0316653167;006A-2;14
0316653167;005B;16
0316653167;003;3
0316653167;008BA;8
0316653167;002;6
0316653167;006BA;6
0316653167;017;12
0316653167;009;5
0316653167;007BA;6
0316653167;007A;9,5
0316653167;004;11
0316653167;005A;8,5
0316653167;006BB;3
0316653167;008BB;6
0316653167;001;6
0316653173;015;12
0316653173;009;5
0316653173;008A;7
0316653173;004;7
0316653173;005A;5
0316653173;008BA;8
0316653173;003;5
0316653173;008BB;4
0316653173;002;9
0316653173;005B;18
0316653173;017;11
0316653173;001;10
0316653173;006A-3;5
0316653192;006BA;3,5
0316653192;002;13
0316653192;017;17
0316653192;009;10
0316653192;007BB;10
0316653192;015;15
0316653192;006BB;5
0316653192;005A;4
0316653192;004;2
0316653192;005B;AB
0316653192;001;11
0316653192;006A-2;11
0316653192;003;8
